O=c1cc(-c2ccc(O)cc2)oc2ccc3ccccc3c12,-10.9
O=c1ccc2cc3c(cc2o1)occ3-c1ccccc1,-10.8
O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,-10.9
O=C1Oc2ccccc2C(=O)/C1=C\c1c[nH]c2ccccc12,-10.5
COc1ccc(-c2coc3cc4oc(=O)cc(C)c4cc32)cc1F,-10.7
O=C1Nc2ccccc2/C1=C\c1c[nH]c2ccccc12,-9.6
COc1ccc(N2C(=O)c3cc4ccccc4cc3C2=O)cc1,-10.9
Cc1ccc2c(c1)sc1nc(-c3cc4ccccc4oc3=O)cn21,-11.0
O=C1N[C@]2(C=Cc3c(ccc4ccccc43)O2)Oc2ccccc21,-9.7
O=C1N[C@@]2(C=Cc3c(ccc4ccccc43)O2)Oc2ccccc21,-11.1
O=C1c2ccc3c4c(ccc(c42)C(=O)N1c1ccc2ccccc2c1)CC3,-11.9
O=c1oc2cc(O)ccc2cc1-c1nc2c(s1)CCc1ccccc1-2,-11.0
O=C1c2ccccc2C(=O)N1c1ccc(-c2nc3ccccc3o2)cc1,-10.7
COc1ccc(-c2coc3c2c(C)cc2oc(=O)c(C)c(C)c32)cc1,-10.7
O=C(Nc1cccnc1)c1cccc(-c2cc3ccccc3oc2=O)c1,-11.1
Cc1noc(NS(=O)(=O)c2ccc(NC(=O)c3oc4ccc(F)cc4c3C)cc2)c1C,-10.8
Cc1ccc(NC(=O)c2sc3nc(-c4ccc(F)cc4)ccc3c2N)cc1F,-10.7
Cc1c(Cl)cccc1NC(=O)c1cc2nc(-c3ccc4c(c3)OCO4)cc(C(F)(F)F)n2n1,-10.7
O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccc2c(c1)OCO2,-11.0
CCn1nnc(NC(=O)c2cccc(-c3cc4ccccc4oc3=O)c2)n1,-11.1
Cc1cc(NC(=O)c2ccc3c(c2)OCO3)ccc1NC(=O)c1ccccc1,-10.7
O=C(Nc1nc(-c2ccc3c(c2)Cc2ccccc2-3)cs1)c1ccccc1,-10.9
CCOc1ccc(C(=O)Nc2cccc(-c3cc4ccccc4oc3=O)c2)cc1[N+](=O)[O-],-11.1
CC(=O)Nc1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3nccc(C)n3)cc2)cc1,-10.9
